strain,day,rx,sample,mean,se,cum_value,position
a.venet,0,encapsulated,capsule_total,191000000,20898564.54,191000000,95500000
a.venet,0,encapsulated,super_total,27708.33333,3983.254881,27708.33333,13854.16667
a.venet,0,free,super_total,136250000,18929694.49,136250000,68125000
h.taenio,0,encapsulated,capsule_total,22950000,10463866.4,22950000,11475000
h.taenio,0,encapsulated,super_total,1,0,1,0.5
h.taenio,0,free,super_total,33888888.89,4858253.128,33888888.89,16944444.44
m.fred,0,encapsulated,capsule_total,64666666.67,11259563.84,64666666.67,32333333.33
m.fred,0,encapsulated,super_total,5417.333333,5416.333333,5417.333333,2708.666667
m.fred,0,free,super_total,61666666.67,14901295.62,61666666.67,30833333.33
m.fred,21,encapsulated,capsule_total,445250000,70449893.54,445250000,222625000
m.fred,21,encapsulated,super_total,2680555556,334029943.4,2680555556,1340277778
m.fred,21,free,super_total,5583333333,583333333.3,5583333333,2791666667
n.aroma,0,encapsulated,capsule_total,141000000,68645830.17,141000000,70500000
n.aroma,0,encapsulated,super_total,1,0,1,0.5
n.aroma,0,free,super_total,92083333.33,9851325.348,92083333.33,46041666.67
n.aroma,21,encapsulated,capsule_total,1707000000,463507281.5,1707000000,853500000
n.aroma,21,encapsulated,super_total,5392083333,2796413284,5392083333,2696041667
n.aroma,21,free,super_total,5795833333,2794435816,5795833333,2897916667
n.penta,0,encapsulated,capsule_total,6230000,3473648.418,6230000,3115000
n.penta,0,encapsulated,super_total,1,0,1,0.5
n.penta,0,free,super_total,7937500,3597054.64,7937500,3968750
n.penta,21,encapsulated,capsule_total,95000000,50187149.75,95000000,47500000
n.penta,21,encapsulated,super_total,152500000,90648703.8,152500000,76250000
n.penta,21,free,super_total,457916666.7,141745688.7,457916666.7,228958333.3
p.putida,0,encapsulated,capsule_total,40716666.67,294863.4335,40716666.67,20358333.33
p.putida,0,encapsulated,super_total,1,0,1,0.5
p.putida,0,free,super_total,54166666.67,2732266.052,54166666.67,27083333.33
p.putida,21,encapsulated,capsule_total,277750000,93855052.25,277750000,138875000
p.putida,21,encapsulated,super_total,3079861111,88325580.55,3079861111,1539930556
p.putida,21,free,super_total,3514583333,82311442.77,3514583333,1757291667